Zip3,Zipcode,Z,ZipcodeType,City,State,Population,Density,TotalWages,Wealthy,HouseOfUnits,LandArea,WaterArea,Latitude,Longitude,NEBoundLatitude,NEBoundLongitude,SWBoundLatitude,SWBoungLongitude
2,245,245,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
912,91201,91201,Standard,Glendale,CA,22781,9652.966102,369000223,16197.71841,8590,2.36,0.01,34.1629905,-118.2935891,34.190456,-118.275792,34.1514101,-118.3124859
6,646,646,Standard,Dorado,PR,38199,1845.362319,,,16699,20.7,1.28,18.4622387,-66.2962203,18.4903091,-66.2393199,18.406472,-66.3540321
859,85937,85937,Standard,Snowflake,AZ,7638,24.85923515,84451803,11056.79537,3228,307.25,0.16,34.5380288,-109.9973244,34.7701179,-109.80354,34.4071519,-110.370057
593,59323,59323,XX,COLSTRIP,MT,2035,XX,XX,XX,XX,XX,XX,45.92,-106.68,XX,XX,XX,XX
738,73858,73858,Standard,Shattuck,OK,1666,6.706924316,23729531,14243.41597,920,248.4,0.24,36.2379123,-99.9465077,36.420899,-99.753652,35.8809479,-100.0004041
692,69201,69201,Standard,Valentine,NE,4005,3.244832978,48814891,12188.48714,2054,1234.27,21.9,42.7668091,-100.5296115,43.2742158,-100.0226461,42.294426,-101.1654479
84,8401,8401,Standard,Atlantic City,NJ,39554,3713.99061,419370825,10602.48837,20009,10.65,6.04,39.3685196,-74.4408385,39.4065201,-74.404054,39.335544,-74.5055469
592,59215,59215,Standard,Circle,MT,1135,0.85551904,11964419,10541.33833,606,1326.68,7.57,47.5392116,-105.8199025,47.9861919,-105.193518,47.179772,-106.298275
842,84201,84201,XX,OGDEN,UT,,XX,XX,XX,XX,XX,XX,41.24,-111.99,XX,XX,XX,XX
918,91801,91801,Standard,Alhambra,CA,52735,12095.18349,872768511,16550.0808,20521,4.36,0,34.0837958,-118.1181199,34.1111459,-118.108176,34.06977,-118.1606599
998,99801,99801,Standard,Juneau,AK,29164,13.29613116,445940363,15290.78189,11998,2193.42,303.78,58.3018264,-134.4202956,58.972337,-130.980794,55.066024,-135.8481271
879,87931,87931,Standard,Caballo,NM,634,5.750045347,,,441,110.26,6.58,32.9381171,-107.4085384,33.064252,-107.277254,32.8526941,-107.594713
50,5081,5081,Standard,Wells River,VT,550,59.13978495,11785449,21428.08909,299,9.3,0.07,44.1481567,-72.0815469,44.196075,-72.033383,44.082625,-72.142117
108,10805,10805,Standard,New Rochelle,NY,18414,10643.93064,414885447,22530.97898,7975,1.73,0.02,40.8971093,-73.7860276,40.9116349,-73.755685,40.8765869,-73.7939359
