Id,Ship Date,Deliv Date,Trailer Number,Equipment,UPPER([Driver]),UPPER([Truck Number]),Cons City,Cons State,Con Zip,Ship City,Ship State,Ship Zip,Max. Miles,Max. Total Carr Adj,Max. Total Cust Rate,WordParam,DateParam
1459746,1/12/2018,1/13/2018,CUT 1/18,45FT CONTAINER,MAERSK,EXPORT,STATESVILLE,NC,28677,MOUNT PLEASANT,SC,29464,253,1800,1900,CUT,1/18/2018
1459773,1/22/2018,1/23/2018,cut is 1/26,40 HC,CMA,EXPORT,SHREVEPORT,LA,71107,HASLET,TX,76052,238,1600,1900,cut,1/26/2018
1459774,1/22/2018,1/30/2018,ETA 1/21,20 STD,YANG MING,IMPORT,EAST POINT,GA,30344,AUSTELL,GA,30106,22,1000,1100,ETA,1/21/2018
1459799,1/24/2018,1/24/2018,cut 1/15,40 HC,CMA,EXPORT,SEAGRAVES,TX,79359,HASLET,TX,76052,357,2400,2700,cut,1/15/2018
1459841,1/22/2018,1/23/2018,cut is 1/26,40 HC,CMA,EXPORT,SHREVEPORT,LA,71107,HASLET,TX,76052,238,1800,2100,cut,1/26/2018
1459842,1/23/2018,1/23/2018,cut is 1/26,40 HC,CMA,EXPORT,SHREVEPORT,LA,71107,HASLET,TX,76052,238,1700,2000,cut,1/26/2018
1459843,1/23/2018,1/23/2018,cut is 1/26,40 HC,CMA,EXPORT,SHREVEPORT,LA,71107,HASLET,TX,76052,238,1700,2000,cut,1/26/2018
1459844,1/24/2018,1/30/2018,cut is 1/26,40 HC,CMA,EXPORT,SHREVEPORT,LA,71107,HASLET,TX,76052,238,1600,1900,cut,1/26/2018
1459898,1/15/2018,1/24/2018,ETA 1/13,40 HC,MSC MARINNA,IMPORT,BATON ROUGE,LA,70803,NEW ORLEANS,LA,70115,85,1000,1300,ETA,1/13/2018
1460057,1/16/2018,1/17/2018,ETA 1/11,20 STD,HMDU,IMPORT,SHEPHERDSVILLE,KY,40165,LOUISVILLE,KY,40214,17,800,1000,ETA,1/11/2018
1460058,1/22/2018,1/23/2018,ETA 1/11,40 HC,HMDU,IMPORT,SHEPHERDSVILLE,KY,40165,LOUISVILLE,KY,40214,17,1300,1400,ETA,1/11/2018
1460059,1/16/2018,1/17/2018,ETA 1/11,40 HC,HMDU,IMPORT,SHEPHERDSVILLE,KY,40165,LOUISVILLE,KY,40214,17,900,1000,ETA,1/11/2018
1460060,1/22/2018,1/23/2018,ETA 1/20,20 STD,HMDU,IMPORT,SHEPHERDSVILLE,KY,40165,LOUISVILLE,KY,40214,17,600,700,ETA,1/20/2018
1460061,1/22/2018,1/23/2018,ETA 1/20,20 STD,HMDU,IMPORT,SHEPHERDSVILLE,KY,40165,LOUISVILLE,KY,40214,17,600,700,ETA,1/20/2018
1460062,1/22/2018,1/23/2018,ETA 1/20,20 STD,HMDU,IMPORT,SHEPHERDSVILLE,KY,40165,LOUISVILLE,KY,40214,17,600,700,ETA,1/20/2018
1460063,1/16/2018,1/30/2018,ETA 1/11,40 HC,MOL,IMPORT,SHEPHERDSVILLE,KY,40165,LOUISVILLE,KY,40218,21,800,900,ETA,1/11/2018
1460064,1/19/2018,1/22/2018,ETA 1/11,40 HC,MOL,IMPORT,SHEPHERDSVILLE,KY,40165,LOUISVILLE,KY,40218,21,900,1000,ETA,1/11/2018
1460065,1/22/2018,1/23/2018,ETA 1/20,20 STD,HMDU,IMPORT,SHEPHERDSVILLE,KY,40165,LOUISVILLE,KY,40214,17,600,700,ETA,1/20/2018
1460066,1/17/2018,1/18/2018,ETA 1/11,40 HC,HMDU,IMPORT,SHEPHERDSVILLE,KY,40165,LOUISVILLE,KY,40218,21,700,800,ETA,1/11/2018
1460117,1/30/2018,1/31/2018,ETA 1/19,40 STD,EVERGREEN,IMPORT,MADILL,OK,73446,SEABROOK,TX,77586,388,2300,2700,ETA,1/19/2018
1460118,2/1/2018,2/2/2018,ETA 1/19,40 STD,EVERGREEN,IMPORT,MADILL,OK,73446,SEABROOK,TX,77586,388,2300,2700,ETA,1/19/2018
1460119,1/26/2018,1/29/2018,ETA 1/19,20 STD,EVERGREEN,IMPORT,MADILL,OK,73446,SEABROOK,TX,77586,388,2300,2700,ETA,1/19/2018
1460195,1/17/2018,1/18/2018,ETA 1/12,20 STD,EVERGREEN,IMPORT,CORDELE,GA,31015,SAVANNAH,GA,31402,187,1000,1000,ETA,1/12/2018
1460197,1/22/2018,1/23/2018,ETA 1/12,40 STD,EVERGREEN,IMPORT,CORDELE,GA,31015,SAVANNAH,GA,31402,187,1000,1200,ETA,1/12/2018
1460234,1/10/2018,1/30/2018,CUT 1/30,40FT CONTAINER,MSC,EXPORT,WINSTON SALEM,NC,27105,WILMINGTON,NC,28401,241,1300,1500,CUT,1/30/2018
1460243,1/19/2018,1/25/2018,ETA 1/15,40 HC,EVERGREEN,IMPORT,CHARLOTTE,NC,28227,MT PLEASANT,SC,29464,230,1300,1500,ETA,1/15/2018
1460252,1/11/2018,1/18/2018,ETA 1/14,20FT CONTAINER,APL,IMPORT,HUNTSVILLE,AL,35811,MEMPHIS,TN,38118,205,2400,2300,ETA,1/14/2018
1460278,1/17/2018,1/17/2018,eta 1/10,40FT CONTAINER,HAPAG,IMPORT,LEWISVILLE,TX,75067,WILMER,TX,75172,41,700,1400,eta,1/10/2018
1460314,1/10/2018,1/23/2018,CUT 1/24,40FT CONTAINER,MSC,EXPORT,SPARTANBURG,SC,29301,GREER,SC,29651,15,400,500,CUT,1/24/2018
1460346,1/17/2018,1/24/2018,CUT 1/25,40 HC,MSC,EXPORT,GASTONIA,NC,28054,GARDEN CITY,GA,31408,264,3200,3600,CUT,1/25/2018
1460353,1/10/2018,1/16/2018,ETA 1/10,40 HC,MSC,IMPORT,AVON,OH,44011,CLEVELAND,OH,44110,30,400,500,ETA,1/10/2018
1460363,1/10/2018,1/16/2018,ETA 1/10,45 HC,MSC,IMPORT,AVON,OH,44011,CLEVELAND,OH,44110,30,600,600,ETA,1/10/2018
1460407,1/11/2018,1/23/2018,Cutoff 1/26,40FT CONTAINER,APL,EXPORT,JOHNSON CITY,TN,37604,MT PLEASANT,SC,29464,330,1900,2300,Cut,1/26/2018
1460409,1/11/2018,1/24/2018,Cutoff 1/26,40FT CONTAINER,APL,EXPORT,JOHNSON CITY,TN,37604,MT PLEASANT,SC,29464,330,1800,2300,Cut,1/26/2018
1460414,1/10/2018,1/25/2018,eta 1/18,20FT CONTAINER,NYK,IMPORT,FREDERICKSBURG,PA,17026,JERSEY CIT,NJ,7305,137,1700,1900,eta,1/18/2018
1460430,1/12/2018,1/15/2018,ETA 1/10,40FT CONTAINER,HAPAG LLYOD,IMPORT,LOCKBOURNE,OH,43137,JERSEY CITY,NJ,7305,535,4400,5100,ETA,1/10/2018
1460439,1/12/2018,1/16/2018,ETA 1/7,40FT CONTAINER,HAPAG LLOYD,IMPORT,LOCKBOURNE,OH,43137,JERSEY CITY,NJ,7305,535,5700,6300,ETA,1/7/2018
1460451,1/12/2018,1/17/2018,ETA 1/07,40FT CONTAINER,HAPAG LLOYD,IMPORT,LOCKBOURNE,OH,43137,JERSEY CITY,NJ,7305,535,4400,5100,ETA,1/7/2018
1460520,1/10/2018,1/31/2018,ETA 1/18,40 HC,MSC,IMPORT,NAVARRE,OH,44662,CLEVELAND,OH,44110,68,1100,1000,ETA,1/18/2018
